saumya@saumya-VirtualBox:~/Documents/PythonWorkspace$ python Lab1.py
pid,            laddr,           raddr,               status
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('21448.0', '10.0.2.15@47030', '216.58.195.68@443', 'ESTABLISHED')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('30534.0', '10.0.2.15@39950', '216.58.194.206@80', 'CLOSE_WAIT')
('26466.0', '10.0.2.15@52152', '216.58.195.78@443', 'ESTABLISHED')
('26466.0', '10.0.2.15@52152', '216.58.195.78@443', 'CLOSE_WAIT')
saumya@saumya-VirtualBox:~/Documents/PythonWorkspace$
